| 2021:04:26 12:33:25,216 | I | tornado.general | /home/soumik/work/app_builder/ether/api_core/server/web/forms/forms.py modified; restarting server
| 2021:04:26 12:33:25,285 | I | root | ------
| 2021:04:26 12:33:25,296 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2021:04:26 12:33:26,550 | D | asyncio | Using selector: EpollSelector
| 2021:04:26 12:33:26,580 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2021:04:26 12:33:26,595 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2021:04:26 12:33:26,610 | I | root | lib/conn_util.py +78 MongoMixin MONGO	Report Database has been Initialized!
| 2021:04:26 12:33:26,643 | I | root | lib/conn_util.py +107 FirebaseMixin Firebase	has been Initialization Failed! 'cred'
| 2021:04:26 12:33:26,647 | I | root | mtime_server_run.py +90 __init__ APP	Running Tornado Application Port - [ 3122 ]
| 2021:04:26 12:33:28,403 | I | root | forms/forms.py +134 post test	{'formTitle': 'Demo1', 'metaData': [{'eId': 'text', 'label': 'Text', 'icon': 'text_fields', 'eSelect': False, 'id': 27, 'children': [{'text': '', 'valueType': 'string', 'value': 19}]}, {'eId': 'input', 'label': 'Input Field', 'icon': 'input', 'eSelect': True, 'id': 28, 'children': [{'text': '', 'valueType': 'string', 'value': 19}]}, {'eId': 'input', 'label': 'Input Field', 'icon': 'input', 'eSelect': False, 'id': 29, 'children': [{'text': '', 'valueType': 'string', 'value': 19}]}, {'eId': 'dropdown', 'label': 'Dropdown', 'icon': 'input', 'eSelect': False, 'id': 30, 'children': [{'text': '', 'valueType': 'string', 'value': 19}]}]}
| 2021:04:26 12:33:28,409 | D | root | forms/forms.py +161 post RSP	{'code': 2000, 'status': True, 'message': 'Form has been created.'}
| 2021:04:26 12:33:28,409 | I | tornado.access | 200 POST /web/api/forms (127.0.0.1) 9.96ms
| 2021:04:26 12:33:46,782 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:33:46,783 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:33:46,797 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 16.26ms
| 2021:04:26 12:34:24,796 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:34:24,797 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:34:24,797 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 7.43ms
| 2021:04:26 12:35:27,177 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:35:27,178 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:35:27,178 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 5.12ms
| 2021:04:26 12:36:45,137 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:36:45,138 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:36:45,139 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 5.75ms
| 2021:04:26 12:36:55,787 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:36:55,787 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:36:55,787 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 2.61ms
| 2021:04:26 12:37:03,386 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:37:03,388 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:37:03,388 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 7.63ms
| 2021:04:26 12:37:42,954 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:37:42,955 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:37:42,955 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 2.17ms
| 2021:04:26 12:38:01,783 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:01,784 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:01,784 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 5.79ms
| 2021:04:26 12:38:27,924 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:27,925 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:27,925 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 1.88ms
| 2021:04:26 12:38:29,712 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:29,713 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:29,714 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 6.98ms
| 2021:04:26 12:38:31,273 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:31,274 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:31,275 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 7.05ms
| 2021:04:26 12:38:38,573 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:38,574 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:38,574 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 2.10ms
| 2021:04:26 12:38:39,757 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:39,758 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:39,758 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 3.12ms
| 2021:04:26 12:38:40,490 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:40,491 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:40,492 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 7.11ms
| 2021:04:26 12:38:40,956 | I | root | forms/forms.py +76 get Hello	
